name,description,discount,price
AKS,AKS Women Navy &amp; Off-White Printed Straight Kurta,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 440 -->Rs. <!-- /react-text --><!-- react-text: 441 -->549<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 443 -->Rs. <!-- /react-text --><!-- react-text: 444 -->1099<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
Campus Sutra,Campus Sutra Men Blue Standard Regular Fit Self Design Casual Shirt,(65% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 474 -->Rs. <!-- /react-text --><!-- react-text: 475 -->489<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 477 -->Rs. <!-- /react-text --><!-- react-text: 478 -->1399<!-- /react-text --></span></span><span class=""product-discountPercentage"">(65% OFF)</span>"
Jompers,Jompers Women Red &amp; Beige Printed A-Line Kurta,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 507 -->Rs. <!-- /react-text --><!-- react-text: 508 -->574<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 510 -->Rs. <!-- /react-text --><!-- react-text: 511 -->1149<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
GERUA,GERUA Women Navy &amp; Maroon Printed Straight Kurta,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 541 -->Rs. <!-- /react-text --><!-- react-text: 542 -->494<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 544 -->Rs. <!-- /react-text --><!-- react-text: 545 -->1099<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
Maniac,Maniac Men Navy Blue Checked Round Neck T-shirt,(65% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 576 -->Rs. <!-- /react-text --><!-- react-text: 577 -->374<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 579 -->Rs. <!-- /react-text --><!-- react-text: 580 -->1069<!-- /react-text --></span></span><span class=""product-discountPercentage"">(65% OFF)</span>"
Columbus,Columbus Men Navy Blue Running Shoes,,"<span><!-- react-text: 608 -->Rs. <!-- /react-text --><!-- react-text: 609 -->499<!-- /react-text --></span><span class=""product-discountPercentage""></span>"
Jompers,Jompers Women Beige &amp; Green Printed A-Line Kurta,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 639 -->Rs. <!-- /react-text --><!-- react-text: 640 -->574<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 642 -->Rs. <!-- /react-text --><!-- react-text: 643 -->1149<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
AKS,AKS Women Orange Printed Detail Maxi Dress,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 673 -->Rs. <!-- /react-text --><!-- react-text: 674 -->584<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 676 -->Rs. <!-- /react-text --><!-- react-text: 677 -->1299<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
Zima Leto,Zima Leto Women Navy Blue Solid Midi Sheath Dress,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 707 -->Rs. <!-- /react-text --><!-- react-text: 708 -->494<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 710 -->Rs. <!-- /react-text --><!-- react-text: 711 -->1099<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
GERUA,GERUA Women Green Printed Empire Dress,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 741 -->Rs. <!-- /react-text --><!-- react-text: 742 -->539<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 744 -->Rs. <!-- /react-text --><!-- react-text: 745 -->1199<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
Vishudh,Vishudh Women Teal Blue Printed A-Line Kurta,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 776 -->Rs. <!-- /react-text --><!-- react-text: 777 -->574<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 779 -->Rs. <!-- /react-text --><!-- react-text: 780 -->1149<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
plusS,plusS Women Burgundy Printed A-Line Top,(70% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 810 -->Rs. <!-- /react-text --><!-- react-text: 811 -->539<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 813 -->Rs. <!-- /react-text --><!-- react-text: 814 -->1799<!-- /react-text --></span></span><span class=""product-discountPercentage"">(70% OFF)</span>"
Maniac,Maniac Men White Checked Round Neck T-shirt,(65% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 846 -->Rs. <!-- /react-text --><!-- react-text: 847 -->374<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 849 -->Rs. <!-- /react-text --><!-- react-text: 850 -->1069<!-- /react-text --></span></span><span class=""product-discountPercentage"">(65% OFF)</span>"
Vishudh,Vishudh Women Black Printed A-Line Kurta,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 879 -->Rs. <!-- /react-text --><!-- react-text: 880 -->499<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 882 -->Rs. <!-- /react-text --><!-- react-text: 883 -->999<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
La Firangi,La Firangi Women White Printed Anarkali Kurta,(65% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 913 -->Rs. <!-- /react-text --><!-- react-text: 914 -->594<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 916 -->Rs. <!-- /react-text --><!-- react-text: 917 -->1699<!-- /react-text --></span></span><span class=""product-discountPercentage"">(65% OFF)</span>"
Difference of Opinion,Difference of Opinion Navy Printed T-shirt,(35% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 948 -->Rs. <!-- /react-text --><!-- react-text: 949 -->584<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 951 -->Rs. <!-- /react-text --><!-- react-text: 952 -->899<!-- /react-text --></span></span><span class=""product-discountPercentage"">(35% OFF)</span>"
Soch,Soch Women Blue &amp; Pink Printed Straight Kurta,(Rs. 303 OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 982 -->Rs. <!-- /react-text --><!-- react-text: 983 -->494<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 985 -->Rs. <!-- /react-text --><!-- react-text: 986 -->798<!-- /react-text --></span></span><span class=""product-discountPercentage"">(Rs. 303 OFF)</span>"
GERUA,GERUA Women Black Solid Cropped Straight Palazzos,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1018 -->Rs. <!-- /react-text --><!-- react-text: 1019 -->314<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1021 -->Rs. <!-- /react-text --><!-- react-text: 1022 -->699<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
Dennis Lingo,Dennis Lingo Men Black Slim Fit Solid Casual Shirt,(70% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1051 -->Rs. <!-- /react-text --><!-- react-text: 1052 -->554<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1054 -->Rs. <!-- /react-text --><!-- react-text: 1055 -->1849<!-- /react-text --></span></span><span class=""product-discountPercentage"">(70% OFF)</span>"
boAt,boAt Unisex Black BassHeads 220 In-Ear Headphones with Mic,(49% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1085 -->Rs. <!-- /react-text --><!-- react-text: 1086 -->509<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1088 -->Rs. <!-- /react-text --><!-- react-text: 1089 -->999<!-- /react-text --></span></span><span class=""product-discountPercentage"">(49% OFF)</span>"
GERUA,GERUA Women Turquoise Blue Self Design A-Line Kurta,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1115 -->Rs. <!-- /react-text --><!-- react-text: 1116 -->584<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1118 -->Rs. <!-- /react-text --><!-- react-text: 1119 -->1299<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
HIGHLANDER,HIGHLANDER Men Brown &amp; Black Slim Fit Checked Casual Shirt,(60% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1150 -->Rs. <!-- /react-text --><!-- react-text: 1151 -->519<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1153 -->Rs. <!-- /react-text --><!-- react-text: 1154 -->1299<!-- /react-text --></span></span><span class=""product-discountPercentage"">(60% OFF)</span>"
