title,company,salary,date,location,experience,description,skills,URL
Data Science and Analytics Engineer at Singapore,EAGE TECHNOLOGIES (INDIA) PRIVATE LIMITED,"<em></em>    35,00,000 - 50,00,000 P.A.  ",1 day ago,Singapore,<em></em>3-8 yrs,"Knowledge and working experience in workflow, map-reduce or stream processing systems such as Spark and ...","Deep Learning, NLP, Spark, Information Retrieval, Java, Python...",https://www.naukri.com/job-listings-Data-Science-and-Analytics-Engineer-at-Singapore-EAGE-TECHNOLOGIES-INDIA-PRIVATE-LIMITED-Singapore-3-to-8-years-031018000363?src=jobsearchDesk&sid=15386274478820&xp=1&px=1
Manager - Operations - Data Science Course - Edtech,Change Leaders,<em></em>  Not disclosed ,1 day ago,Bengaluru,<em></em>3-6 yrs,"- Ownership of Program Office (<font class=""hlite"">Data</font> <font class=""hlite"">Science</font>) activities covering all aspects of program delivery &amp; ...","Operations, Manager - Operations, Project Management, People Management...",https://www.naukri.com/job-listings-Manager-Operations-Data-Science-Course-Edtech-Change-Leaders-Bengaluru-3-to-6-years-031018900598?src=jobsearchDesk&sid=15386274478820&xp=2&px=1
ETL Lead & Data Science,COMPUTER POWER GROUP PRIVATE LIMITED,<em></em>  Not disclosed ,1 day ago,"Mumbai, Bengaluru, Chennai, Pune, Noida",<em></em>7-10 yrs,Industry experience in building and operationalizing various machine and deep learning models in finance/ ...,"SQL, <font class=""hlite"">Data</font> Analysis, Text Mining, SAS, R, Statistical Modeling...",https://www.naukri.com/job-listings-ETL-Lead-Data-Science-COMPUTER-POWER-GROUP-PRIVATE-LIMITED-Mumbai-Bengaluru-Chennai-Pune-Noida-7-to-10-years-031018001043?src=jobsearchDesk&sid=15386274478820&xp=3&px=1
"Senior Manager, Data Science",Sandisk India Device Design Centre Pvt Ltd,<em></em>  Not disclosed ,1 day ago,Bengaluru,<em></em>3-5 yrs,,"Report Generation, Deep Learning, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Technical Leadership...",https://www.naukri.com/job-listings-Senior-Manager-Data-Science-Sandisk-India-Device-Design-Centre-Pvt-Ltd-Bengaluru-3-to-5-years-031018900437?src=jobsearchDesk&sid=15386274478820&xp=4&px=1
Need Technical Trainer Machine Learning/data Science/block Chain,Advanto Software,"<em></em>    3,00,000 - 8,00,000 P.A.  ",1 day ago,Pune(Pune Nashik Highway),<em></em>1-6 yrs,,"<font class=""hlite"">data</font> <font class=""hlite"">science</font>, machine learning, technical training...",https://www.naukri.com/job-listings-Need-Technical-Trainer-Machine-Learning-data-Science-block-Chain-Advanto-Software-Pune-Pune-Nashik-Highway-1-to-6-years-031018003246?src=jobsearchDesk&sid=15386274478820&xp=5&px=1
Data Science Associate Consultant,ZS Associates {India} Pvt Ltd,<em></em>  Not disclosed ,1 day ago,Delhi,<em></em>3-5 yrs,,"Consulting, <font class=""hlite"">Data</font> mining, Business analysis, Pharma, Business operations...",https://www.naukri.com/job-listings-Data-Science-Associate-Consultant-ZS-Associates-India-Pvt-Ltd-Delhi-3-to-5-years-011018902036?src=jobsearchDesk&sid=15386274478820&xp=6&px=1
Data Science,Netcore Solutions Pvt Ltd,"<em></em>    2,00,000 - 7,00,000 P.A.  ",6 days ago,Mumbai,<em></em>2-4 yrs,"At least 2 year of experience in <font class=""hlite"">data</font> engineering or machine learning roles;Prior experience of ...","Algorithms, Machine Learning, Python, Java, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, R, Spark, SCALA...",https://www.naukri.com/job-listings-Data-Science-Netcore-Solutions-Pvt-Ltd-Mumbai-2-to-4-years-280918001664?src=jobsearchDesk&sid=15386274478820&xp=7&px=1
Urgent Opening For DATA Science,2Coms Consulting Pvt Ltd.,"<em></em>    7,00,000 - 14,00,000 P.A.  ",3 days ago,Bengaluru,<em></em>4-9 yrs,"Solid knowledge in statistics and mathematics, good understanding of machine learning and <font class=""hlite"">data</font> mining ...","Machine Learning, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Predictive Analytics, <font class=""hlite"">Data</font> Mining, R...",https://www.naukri.com/job-listings-Urgent-Opening-For-DATA-Science-2Coms-Consulting-Pvt-Ltd-Bengaluru-4-to-9-years-011018002935?src=jobsearchDesk&sid=15386274478820&xp=8&px=1
ETL Lead & Data Science,COMPUTER POWER GROUP PRIVATE LIMITED,"<em></em>    10,00,000 - 15,00,000 P.A.  ",6 days ago,"Chennai, Bengaluru, Mumbai, Pune, Noida",<em></em>7-10 yrs,Industry experience in building and operationalizing various machine and deep learning models in finance/ ...,"SQL, <font class=""hlite"">Data</font> Analysis, Text Mining, SAS, R, Statistical Modeling...",https://www.naukri.com/job-listings-ETL-Lead-Data-Science-COMPUTER-POWER-GROUP-PRIVATE-LIMITED-Chennai-Bengaluru-Mumbai-Pune-Noida-7-to-10-years-280918008755?src=jobsearchDesk&sid=15386274478820&xp=9&px=1
Specialist - Data Science,Brainsearch Consulting Pvt Ltd.Â&nbsp;,<em></em>  Not disclosed ,6 days ago,"Delhi NCR, Bengaluru, Gurgaon",<em></em>7-12 yrs,"- Experience with one or more <font class=""hlite"">data</font> <font class=""hlite"">science</font> programming language, such as R, Python, SAS, etc ...","Specialist - <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, <font class=""hlite"">data</font> <font class=""hlite"">science</font> programming, R...",https://www.naukri.com/job-listings-Specialist-Data-Science-Brainsearch-Consulting-Pvt-Ltd-Delhi-NCR-Bengaluru-Gurgaon-7-to-12-years-270918901342?src=jobsearchDesk&sid=15386274478820&xp=10&px=1
Data Science With Machine Learning Python Bangalore Marathahalli BTM,VSS INNOVATIVE TECHNOLOGIES,"<em></em>    50,000 - 3,00,000 P.A. incentives based on your perform...  ",3 days ago,Bengaluru(Marathahalli+1),<em></em>0-5 yrs,,"<font class=""hlite"">Data</font> <font class=""hlite"">Science</font> training, <font class=""hlite"">data</font> <font class=""hlite"">science</font>, <font class=""hlite"">Data</font>, <font class=""hlite"">data</font> <font class=""hlite"">science</font> with python...",https://www.naukri.com/job-listings-Data-Science-With-Machine-Learning-Python-Bangalore-Marathahalli-BTM-VSS-INNOVATIVE-TECHNOLOGIES-Bengaluru-Marathahalli-1-0-to-5-years-011018002697?src=jobsearchDesk&sid=15386274478820&xp=11&px=1
"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team",SLA Consultants India,"<em></em>    2,00,000 - 4,25,000 P.A.  ",7 days ago,"Delhi NCR, Gurgaon, Noida",<em></em>0-5 yrs,,"<font class=""hlite"">data</font> analyst, reporting analyst, sas, statistics, sas programmer...",https://www.naukri.com/job-listings-Data-Analyst-Data-Science-Excel-sql-sas-python-R-Analytics-Team-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-270918000257?src=jobsearchDesk&sid=15386274478820&xp=12&px=1
Internship Program in Clinical Data Management for Life Sciences,Covalent Industries Private Limited,"<em></em>    50,000 - 1,00,000 P.A.  ",1 day ago,"Bengaluru, Hyderabad",<em></em>0-0 yrs,,"Clinical Research, Clinical <font class=""hlite"">Data</font> Management, Life <font class=""hlite"">Sciences</font>, CRF...",https://www.naukri.com/job-listings-Internship-Program-in-Clinical-Data-Management-for-Life-Sciences-Covalent-Industries-Private-Limited-Bengaluru-Hyderabad-0-to-0-years-031018000285?src=jobsearchDesk&sid=15386274478820&xp=13&px=1
