title,company,salary,date,location,experiance,description,url
Data Scientist/ Machine Learning Engineer - Python,SmartConnect Technologies,<em></em>  Not disclosed ,Today,Mumbai,<em></em>3-5 yrs,"- Good to have knowledge on advanced topics like iterators, generators, regular expressions in Python ...",https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-Engineer-Python-SmartConnect-Technologies-Mumbai-3-to-5-years-031018900198?src=jobsearchDesk&sid=15385870313166&xp=1&px=1&qp=data%20scientist&srcPage=s
Opening of Business Analyst / Data Scientist with top Digital Media Co,Hungama Digital Media Entertainment Pvt. Ltd.,<em></em>  Not disclosed ,Today,Mumbai,<em></em>3-8 yrs,"Minimum 05 years of relevant experience with <font class=""hlite"">data</font> driven proactive problem solver;You must be able to ...",https://www.naukri.com/job-listings-Opening-of-Business-Analyst-Data-Scientist-with-top-Digital-Media-Co-Hungama-Digital-Media-Entertainment-Pvt-Ltd-Mumbai-3-to-8-years-031018002717?src=jobsearchDesk&sid=15385870313166&xp=2&px=1&qp=data%20scientist&srcPage=s
Data Scientist/machine Learning Engineer - Python,SmartConnect Technologies,<em></em>  Not disclosed ,Today,Mumbai,<em></em>3-5 yrs,"- Good to have knowledge on advanced topics like iterators, generators, regular expressions in Python ...",https://www.naukri.com/job-listings-Data-Scientist-machine-Learning-Engineer-Python-SmartConnect-Technologies-Mumbai-3-to-5-years-011018900269?src=jobsearchDesk&sid=15385870313166&xp=3&px=1
Data Scientist,TransOrg Analytics,<em></em>  Not disclosed ,Today,Mumbai,<em></em>2-6 yrs,- 2- 6 years of hands-on experience with R/Python and SQL is the must;- Should be able to handle ...,https://www.naukri.com/job-listings-Data-Scientist-TransOrg-Analytics-Mumbai-2-to-6-years-031018900247?src=jobsearchDesk&sid=15385870313166&xp=4&px=1&qp=data%20scientist&srcPage=s
Data Scientist,TransOrg Analytics,<em></em>  Not disclosed ,Today,Gurgaon,<em></em>1-4 yrs,- Should be able to handle assigned tasks in the capacity of an individual contributor;- Experience with ...,https://www.naukri.com/job-listings-Data-Scientist-TransOrg-Analytics-Gurgaon-1-to-4-years-031018900242?src=jobsearchDesk&sid=15385870313166&xp=5&px=1&qp=data%20scientist&srcPage=s
Data Scientist - Iit/nit/bits,Truebil.com,<em></em>  Not disclosed ,Today,Mumbai,<em></em>2-5 yrs,"- Experience in analysing very large, complex, multi-dimensional <font class=""hlite"">data</font> sets;- Identify opportunities to ...",https://www.naukri.com/job-listings-Data-Scientist-Iit-nit-bits-Truebil-com-Mumbai-2-to-5-years-011018900860?src=jobsearchDesk&sid=15385870313166&xp=6&px=1
Data Scientist - Predictive Modeling/python/r,Tanishi Consultants Pvt. Ltd,<em></em>  Not disclosed ,Today,Bengaluru,<em></em>5-7 yrs,- Identify and report any quality or compliance concerns and take immediate corrective action as ...,https://www.naukri.com/job-listings-Data-Scientist-Predictive-Modeling-python-r-Tanishi-Consultants-Pvt-Ltd-Bengaluru-5-to-7-years-280918901142?src=jobsearchDesk&sid=15385870313166&xp=7&px=1
Data Scientist - Data Mining/predictive Modeling,Inference Labs,<em></em>  Not disclosed ,Today,Mumbai,<em></em>2-5 yrs,"Looking for candidates with 2 to 5 years of experience as <font class=""hlite"">Data</font> <font class=""hlite"">Scientist</font> or <font class=""hlite"">Data</font> analyst who can ...",https://www.naukri.com/job-listings-Data-Scientist-Data-Mining-predictive-Modeling-Inference-Labs-Mumbai-2-to-5-years-280918900163?src=jobsearchDesk&sid=15385870313166&xp=8&px=1
Deputy Manager - Data Scientist (senior Modelling Analytics),HDFC Standard Life Insurance Company Ltd,<em></em>  Not disclosed ,Today,Mumbai,<em></em>3-4 yrs,"Strong Experience in developing deep learning models ( NLP, Chatbot, Image Classification, Speech ...",https://www.naukri.com/job-listings-Deputy-Manager-Data-Scientist-senior-Modelling-Analytics-HDFC-Standard-Life-Insurance-Company-Ltd-Mumbai-3-to-4-years-170718900142?src=jobsearchDesk&sid=15385870313166&xp=9&px=1
Data Scientist,Ulink Agritech Pvt Ltd,"<em></em>    8,00,000 - 15,00,000 P.A.  ",Few Hours Ago,Pune(Viman Nagar),<em></em>1-5 yrs,"At least 1 year experience in <font class=""hlite"">data</font> science in a similar industry/ Startups;Prior experience in ...",https://www.naukri.com/job-listings-Data-Scientist-Ulink-Agritech-Pvt-Ltd-Pune-Viman-Nagar-1-to-5-years-031018007281?src=jobsearchDesk&sid=15385870313166&xp=10&px=1
